Method,Name,Error,Occurrences,First Seen,Last Seen
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":122,""user_type_id"":2}')",1,2026-07-09T21:36:01Z,2026-07-09T21:36:01Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":19,""user_type_id"":2}')",1,2026-07-09T21:35:47Z,2026-07-09T21:35:47Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":17,""user_type_id"":1}')",1,2026-07-09T21:35:46Z,2026-07-09T21:35:46Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":50,""user_type_id"":3}')",1,2026-07-09T21:35:52Z,2026-07-09T21:35:52Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":143,""user_type_id"":1}')",1,2026-07-09T21:36:04Z,2026-07-09T21:36:04Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":149,""user_type_id"":3}')",1,2026-07-09T21:36:04Z,2026-07-09T21:36:04Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":75,""user_type_id"":2}')",1,2026-07-09T21:35:55Z,2026-07-09T21:35:55Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":180,""user_type_id"":3}')",1,2026-07-09T21:36:08Z,2026-07-09T21:36:08Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":94,""user_type_id"":1}')",1,2026-07-09T21:35:57Z,2026-07-09T21:35:57Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":147,""user_type_id"":1}')",1,2026-07-09T21:36:04Z,2026-07-09T21:36:04Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":52,""user_type_id"":2}')",1,2026-07-09T21:35:52Z,2026-07-09T21:35:52Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":27,""user_type_id"":3}')",1,2026-07-09T21:35:48Z,2026-07-09T21:35:48Z
