Method,Name,Error,Occurrences,First Seen,Last Seen
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7259: HTTP 500 - '),1,2026-07-09T23:59:06Z,2026-07-09T23:59:06Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8156: HTTP 500 - '),1,2026-07-09T23:59:51Z,2026-07-09T23:59:51Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=9041: HTTP 500 - '),1,2026-07-10T00:00:42Z,2026-07-10T00:00:42Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7823: HTTP 500 - '),1,2026-07-09T23:59:35Z,2026-07-09T23:59:35Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7664: HTTP 500 - '),1,2026-07-09T23:59:27Z,2026-07-09T23:59:27Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7835: HTTP 500 - '),1,2026-07-09T23:59:36Z,2026-07-09T23:59:36Z
POST,POST /store-manager-api/users,CatchResponseError('Création échouée: HTTP 500 - '),589,2026-07-09T23:59:01Z,2026-07-10T00:00:53Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8161: HTTP 500 - '),1,2026-07-09T23:59:52Z,2026-07-09T23:59:52Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7993: HTTP 500 - '),1,2026-07-09T23:59:43Z,2026-07-09T23:59:43Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7658: HTTP 500 - '),1,2026-07-09T23:59:27Z,2026-07-09T23:59:27Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=9043: HTTP 500 - '),1,2026-07-10T00:00:43Z,2026-07-10T00:00:43Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7509: HTTP 500 - '),1,2026-07-09T23:59:18Z,2026-07-09T23:59:18Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8398: HTTP 500 - '),1,2026-07-10T00:00:05Z,2026-07-10T00:00:05Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7255: HTTP 500 - '),1,2026-07-09T23:59:05Z,2026-07-09T23:59:05Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8717: HTTP 500 - '),1,2026-07-10T00:00:23Z,2026-07-10T00:00:23Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8801: HTTP 500 - '),1,2026-07-10T00:00:27Z,2026-07-10T00:00:27Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7186: HTTP 500 - '),1,2026-07-09T23:59:01Z,2026-07-09T23:59:01Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8002: HTTP 500 - '),1,2026-07-09T23:59:43Z,2026-07-09T23:59:43Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7977: HTTP 500 - '),1,2026-07-09T23:59:43Z,2026-07-09T23:59:43Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8976: HTTP 500 - '),1,2026-07-10T00:00:37Z,2026-07-10T00:00:37Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=9140: HTTP 500 - '),1,2026-07-10T00:00:47Z,2026-07-10T00:00:47Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8645: HTTP 500 - '),1,2026-07-10T00:00:18Z,2026-07-10T00:00:18Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7505: HTTP 500 - '),1,2026-07-09T23:59:18Z,2026-07-09T23:59:18Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7973: HTTP 500 - '),1,2026-07-09T23:59:43Z,2026-07-09T23:59:43Z
